# expressionID, sessionQuesID, expTimestamp, gender, glasses, age, ethnicity, joy, sadness, disgust, contempt, anger, fear, surprise, valence, engagement, smile, innerBrowRaise, browRaise, browFurrow, noseWrinkle, upperLipRaise, lipCornerDepressor, chinRaise, lipPucker, lipPress, lipSuck, mouthOpen, smirk, eyeClosure, attention, lidTighten, jawDrop, dimpler, eyeWiden, cheekRaise, lipStretch
61, 1, 1511889342896, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, -20, 43, 0, 0, 0, 0, 0, 0, 0, 5, 59, 96, 0, 0, 0, 0, 98, 0, 0, 0, 0, 1, 0
62, 1, 1511889343045, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, -18, 37, 0, 0, 0, 0, 0, 0, 0, 8, 57, 93, 0, 0, 0, 0, 98, 0, 0, 0, 0, 5, 0
63, 1, 1511889343211, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, -5, 14, 0, 0, 0, 0, 0, 0, 0, 4, 55, 75, 0, 0, 0, 0, 97, 0, 0, 0, 0, 16, 0
64, 1, 1511889343321, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 37, 43, 0, 0, 0, 0, 99, 0, 0, 0, 0, 38, 0
65, 1, 1511889343447, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, 16, 2, 0, 0, 0, 0, 0, 0, 0, 0, 26, 48, 0, 0, 0, 0, 98, 1, 1, 0, 0, 88, 0
66, 1, 1511889343562, Female, No, 18 - 24, East Asian, 0, 0, 0, 0, 0, 0, 0, 15, 2, 0, 0, 0, 0, 0, 0, 0, 0, 19, 48, 0, 0, 0, 0, 98, 1, 1, 0, 0, 85, 0
67, 1, 1511889343672, Female, No, 18 - 24, East Asian, 0, 0, 1, 0, 0, 0, 0, 21, 1, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39, 0, 0, 0, 0, 98, 1, 1, 0, 0, 91, 0
68, 1, 1511889343771, Female, No, 18 - 24, East Asian, 0, 0, 1, 0, 0, 0, 0, 23, 1, 1, 0, 0, 0, 0, 0, 0, 0, 4, 38, 0, 0, 0, 0, 99, 1, 1, 0, 0, 96, 0
69, 1, 1511889343882, Female, No, 18 - 24, East Asian, 0, 0, 1, 0, 0, 0, 0, 23, 3, 1, 0, 0, 0, 0, 0, 0, 0, 2, 40, 0, 0, 0, 0, 98, 1, 1, 0, 0, 98, 0
70, 1, 1511889344013, Female, No, 18 - 24, East Asian, 0, 0, 1, 0, 0, 0, 0, 23, 8, 1, 0, 0, 0, 1, 0, 0, 0, 1, 43, 0, 0, 0, 0, 99, 1, 1, 0, 0, 99, 0
71, 1, 1511889344120, Female, No, 18 - 24, East Asian, 0, 0, 1, 0, 0, 0, 0, 25, 10, 2, 0, 0, 0, 1, 0, 0, 0, 1, 39, 0, 0, 0, 0, 98, 2, 1, 0, 0, 99, 0
72, 1, 1511889344246, Female, No, 18 - 24, East Asian, 0, 0, 1, 0, 0, 0, 0, 33, 32, 4, 0, 0, 0, 0, 0, 0, 0, 1, 24, 0, 0, 0, 0, 98, 2, 1, 0, 0, 100, 0
73, 1, 1511889344358, Female, No, 18 - 24, East Asian, 0, 0, 1, 0, 0, 0, 0, 55, 74, 21, 0, 0, 0, 4, 0, 0, 0, 0, 6, 0, 1, 0, 0, 98, 1, 2, 0, 1, 100, 0
74, 1, 1511889344515, Female, No, 18 - 24, East Asian, 98, 0, 4, 0, 0, 0, 0, 68, 100, 88, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 9, 0, 0, 99, 1, 7, 0, 2, 100, 0
75, 1, 1511889344596, Female, No, 18 - 24, East Asian, 100, 0, 30, 0, 0, 0, 1, 57, 100, 100, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 55, 0, 0, 98, 1, 24, 0, 8, 100, 0
76, 1, 1511889344688, Female, No, 18 - 24, East Asian, 100, 0, 28, 0, 0, 0, 7, 61, 100, 100, 0, 0, 0, 70, 0, 0, 0, 0, 5, 0, 95, 0, 0, 99, 1, 61, 0, 8, 100, 0
77, 1, 1511889344768, Female, No, 18 - 24, East Asian, 100, 0, 4, 0, 0, 0, 12, 72, 100, 100, 0, 0, 0, 43, 0, 0, 0, 0, 14, 2, 99, 0, 0, 99, 1, 82, 0, 7, 100, 0
78, 1, 1511889344849, Female, No, 18 - 24, East Asian, 100, 0, 1, 0, 0, 0, 11, 66, 100, 100, 0, 0, 0, 30, 0, 0, 0, 0, 49, 8, 100, 0, 0, 99, 1, 80, 0, 3, 100, 0
79, 1, 1511889344935, Female, No, 18 - 24, East Asian, 100, 0, 1, 0, 0, 0, 12, 66, 100, 100, 0, 0, 0, 27, 0, 0, 0, 0, 58, 4, 100, 0, 0, 98, 1, 86, 0, 1, 100, 1
80, 1, 1511889345031, Female, No, 18 - 24, East Asian, 100, 0, 6, 0, 0, 0, 12, 53, 100, 100, 0, 0, 0, 51, 0, 0, 0, 0, 54, 9, 100, 0, 4, 99, 2, 87, 0, 0, 100, 4
81, 1, 1511889345121, Female, No, 18 - 24, East Asian, 100, 0, 12, 0, 0, 0, 12, 59, 100, 100, 0, 0, 0, 56, 0, 0, 0, 0, 32, 3, 100, 0, 1, 98, 3, 87, 0, 0, 100, 12
82, 1, 1511889345249, Female, No, 18 - 24, East Asian, 100, 0, 3, 0, 0, 0, 11, 72, 100, 100, 0, 0, 0, 38, 0, 0, 0, 0, 24, 0, 100, 0, 1, 96, 5, 82, 0, 0, 100, 36
