# gazeID, sessionQuesID, gazeTimestamp, x, y, confidence
580, 6, 1511889646763, 726.191, 665.523, 0.559898
581, 6, 1511889646796, 730.574, 672.874, 0.978521
582, 6, 1511889646841, 736.013, 665.931, 0.472175
583, 6, 1511889646944, 740.389, 666.41, 0.630602
584, 6, 1511889647010, 807.893, 658.878, 0.353153
585, 6, 1511889647115, 911.161, 689.969, 1.36844
586, 6, 1511889647222, 774.96, 655.796, 0.417567
587, 6, 1511889647274, 711.224, 638.026, 0.331302
588, 6, 1511889647339, 655.378, 629.472, 0.454019
589, 6, 1511889647414, 637.19, 629.871, 0.489768
590, 6, 1511889647479, 599.477, 623.657, 0.523042
591, 6, 1511889647542, 599.315, 626.521, 0.507761
592, 6, 1511889647669, 615.18, 624.778, 0.43975
593, 6, 1511889647700, 604.002, 622.306, 0.47992
594, 6, 1511889647775, 601.986, 624.044, 0.467783
595, 6, 1511889647849, 630.762, 632.236, 0.532873
596, 6, 1511889647915, 646.556, 635.305, 0.487588
597, 6, 1511889648001, 657.212, 643.879, 0.633744
598, 6, 1511889648042, 643.48, 638.716, 0.48706
599, 6, 1511889648147, 632.74, 637.6, 0.545049
600, 6, 1511889648210, 676.532, 638.749, 0.384257
601, 6, 1511889648297, 762.37, 657.535, 0.874722
602, 6, 1511889648350, 822.796, 665.777, 0.898535
603, 6, 1511889648414, 905.729, 672.401, 0.904096
604, 6, 1511889648489, 894.003, 672.842, 0.615449
605, 6, 1511889648555, 826.15, 660.894, 0.549815
606, 6, 1511889648648, 758.346, 648.934, 0.418465
607, 6, 1511889648744, 702.557, 644.458, 0.53407
608, 6, 1511889648799, 675.908, 639.122, 0.475499
609, 6, 1511889648841, 704.724, 637.305, 0.359848
610, 6, 1511889648905, 703.123, 636.851, 0.431204
611, 6, 1511889649014, 724.275, 632.09, 0.312094
612, 6, 1511889649046, 696.431, 629.269, 0.37569
613, 6, 1511889649111, 698.677, 627.222, 0.331471
614, 7, 1511889734277, 488.694, 564.461, 0.12259
615, 7, 1511889734341, 469.665, 569.637, 0.131573
616, 7, 1511889734450, 488.01, 572.492, 0.102789
617, 7, 1511889734514, 490.822, 574.589, 0.108586
618, 7, 1511889734602, 460.061, 570.184, 0.151201
619, 7, 1511889734654, 417.028, 561.896, 0.19894
620, 7, 1511889734718, 434.477, 563.459, 0.153155
621, 7, 1511889734810, 408.846, 559.949, 0.193081
622, 7, 1511889734864, 417.587, 562.064, 0.185793
623, 7, 1511889734948, 393.339, 564.378, 0.22827
624, 7, 1511889735055, 358.801, 561.207, 0.336985
625, 7, 1511889735163, 350.547, 569.232, 0.258079
626, 7, 1511889735214, 346.156, 571.595, 0.260321
627, 7, 1511889735301, 324.664, 568.788, 0.25778
628, 7, 1511889735341, 326.756, 567.245, 0.236338
629, 7, 1511889735420, 328.015, 569.189, 0.248985
630, 7, 1511889735512, 345.781, 571.346, 0.219444
631, 7, 1511889735598, 424.036, 570.752, 0.129875
632, 7, 1511889735641, 469.232, 570.967, 0.185463
633, 7, 1511889735748, 469.155, 572, 0.145278
634, 7, 1511889735845, 386.617, 559.49, 0.341548
635, 7, 1511889735920, 395.14, 556.347, 0.233508
636, 7, 1511889736057, 413.625, 561.613, 0.169482
637, 7, 1511889736144, 380.847, 558.188, 0.2265
638, 7, 1511889736314, 369.01, 564.946, 0.220023
639, 7, 1511889736389, 360.784, 570.109, 0.193127
640, 7, 1511889736551, 338.7, 557.77, 0.265266
641, 7, 1511889736659, 393.457, 553.171, 0.220921
642, 7, 1511889736756, 360.059, 549.481, 0.222267
643, 7, 1511889736854, 390.12, 561.212, 0.125657
644, 7, 1511889736939, 393.468, 564.298, 0.135198
645, 7, 1511889737012, 433.6, 566.229, 0.160541
646, 7, 1511889737089, 383.798, 556.293, 0.202931
647, 7, 1511889737207, 410.227, 558.084, 0.198893
648, 7, 1511889737305, 371.56, 551.381, 0.261039
649, 7, 1511889737366, 358.055, 544.733, 0.262942
650, 7, 1511889737400, 352.882, 542.731, 0.281232
651, 7, 1511889737507, 381.218, 550.018, 0.205058
652, 7, 1511889737540, 409.603, 554.844, 0.1954
653, 7, 1511889737622, 455.42, 561.522, 0.195649
654, 7, 1511889737707, 391.089, 566.518, 0.263466
655, 7, 1511889737749, 379.947, 564.615, 0.278361
656, 7, 1511889737908, 354.177, 565.459, 0.310311
657, 7, 1511889738050, 349.293, 564.493, 0.265224
658, 7, 1511889738201, 314.541, 555.95, 0.377694
659, 7, 1511889738358, 315.95, 559.934, 0.313193
